date,EPS,pb_ratio,pe_ratio,roe,fcf,P_mean,P_sum,twt_count,Adj Close
2019-07-17,0.6,7.619,612.2,0.013,-583338000.0,-0.172,-343,1988,362.44
2019-07-18,0.6,6.836,612.2,0.013,-583338000.0,-0.163,-292,1787,325.21
2019-07-19,0.6,6.624,612.2,0.013,-583338000.0,-0.18,-111,616,315.1
2019-07-22,0.6,6.53,612.2,0.013,-583338000.0,-0.087,-52,600,310.62
2019-07-23,0.6,6.46,612.2,0.013,-583338000.0,-0.176,-81,459,307.3
2019-07-24,0.6,6.684,612.2,0.013,-583338000.0,-0.06,-39,654,317.94
2019-07-25,0.6,6.863,612.2,0.013,-583338000.0,-0.01,-6,602,326.46
2019-07-26,0.6,7.059,612.2,0.013,-583338000.0,-0.036,-16,450,335.78
2019-07-29,0.6,6.994,612.2,0.013,-583338000.0,-0.122,-43,351,332.7
2019-07-30,0.6,6.852,612.2,0.013,-583338000.0,-0.146,-52,355,325.93
2019-07-31,0.6,6.79,612.2,0.013,-583338000.0,-0.135,-47,348,322.99
2019-08-01,0.6,6.716,612.2,0.013,-583338000.0,-0.116,-31,267,319.5
2019-08-02,0.6,6.702,612.2,0.013,-583338000.0,-0.085,-21,248,318.83
2019-08-05,0.6,6.467,612.2,0.013,-583338000.0,-0.14,-41,292,307.63
2019-08-06,0.6,6.519,612.2,0.013,-583338000.0,-0.144,-51,355,310.1
2019-08-07,0.6,6.397,612.2,0.013,-583338000.0,-0.117,-50,429,304.29
2019-08-08,0.6,6.641,612.2,0.013,-583338000.0,-0.048,-17,355,315.9
2019-08-09,0.6,6.494,612.2,0.013,-583338000.0,-0.027,-6,224,308.93
2019-08-12,0.6,6.534,612.2,0.013,-583338000.0,-0.056,-16,283,310.83
2019-08-13,0.6,6.565,612.2,0.013,-583338000.0,-0.096,-26,271,312.28
2019-08-14,0.6,6.288,612.2,0.013,-583338000.0,-0.173,-49,283,299.11
2019-08-15,0.6,6.217,612.2,0.013,-583338000.0,-0.074,-25,340,295.76
2019-08-16,0.6,6.365,612.2,0.013,-583338000.0,-0.118,-36,306,302.8
2019-08-19,0.6,6.504,612.2,0.013,-583338000.0,-0.067,-31,465,309.38
2019-08-20,0.6,6.285,612.2,0.013,-583338000.0,-0.117,-65,554,298.99
2019-08-21,0.6,6.26,612.2,0.013,-583338000.0,-0.134,-70,522,297.81
2019-08-22,0.6,6.242,612.2,0.013,-583338000.0,-0.109,-48,439,296.93
2019-08-23,0.6,6.127,612.2,0.013,-583338000.0,-0.117,-55,471,291.44
2019-08-26,0.6,6.201,612.2,0.013,-583338000.0,-0.088,-41,468,294.98
2019-08-27,0.6,6.118,612.2,0.013,-583338000.0,-0.154,-76,493,291.03
2019-08-28,0.6,6.133,612.2,0.013,-583338000.0,-0.113,-59,521,291.77
2019-08-29,0.6,6.239,612.2,0.013,-583338000.0,-0.068,-37,542,296.78
2019-08-30,0.6,6.175,612.2,0.013,-583338000.0,-0.101,-45,444,293.75
2019-09-03,0.6,6.081,612.2,0.013,-583338000.0,-0.073,-36,496,289.29
2019-09-04,0.6,6.128,612.2,0.013,-583338000.0,-0.068,-34,500,291.52
2019-09-05,0.6,6.165,612.2,0.013,-583338000.0,-0.088,-61,691,293.25
2019-09-06,0.6,6.1,612.2,0.013,-583338000.0,-0.066,-32,484,290.17
2019-09-09,0.6,6.188,612.2,0.013,-583338000.0,-0.078,-32,410,294.34
2019-09-10,0.6,6.054,612.2,0.013,-583338000.0,-0.132,-96,728,287.99
2019-09-11,0.6,6.06,612.2,0.013,-583338000.0,-0.118,-47,400,288.27
2019-09-12,0.6,6.072,612.2,0.013,-583338000.0,-0.084,-26,309,288.86
2019-09-13,0.6,6.184,612.2,0.013,-583338000.0,-0.064,-23,357,294.15
2019-09-16,0.6,6.186,612.2,0.013,-583338000.0,-0.108,-46,426,294.29
2019-09-17,0.6,6.277,612.2,0.013,-583338000.0,-0.054,-22,406,298.6
2019-09-18,0.6,6.129,612.2,0.013,-583338000.0,-0.114,-47,414,291.56
2019-09-19,0.6,6.025,612.2,0.013,-583338000.0,-0.184,-92,501,286.6
2019-09-20,0.6,5.692,612.2,0.013,-583338000.0,-0.138,-129,937,270.75
2019-09-23,0.6,5.59,612.2,0.013,-583338000.0,-0.127,-85,668,265.92
2019-09-24,0.6,5.352,612.2,0.013,-583338000.0,-0.122,-94,770,254.59
2019-09-25,0.6,5.565,612.2,0.013,-583338000.0,-0.11,-59,534,264.75
2019-09-26,0.6,5.535,612.2,0.013,-583338000.0,-0.117,-46,392,263.31
2019-09-27,0.6,5.53,612.2,0.013,-583338000.0,-0.093,-31,332,263.08
2019-09-30,1.47,5.626,182.054,0.031,-547127000.0,-0.056,-16,284,267.62
2019-10-01,1.47,5.667,182.054,0.031,-547127000.0,-0.063,-22,347,269.58
2019-10-02,1.47,5.634,182.054,0.031,-547127000.0,-0.087,-30,346,268.03
2019-10-03,1.47,5.637,182.054,0.031,-547127000.0,-0.108,-37,343,268.15
2019-10-04,1.47,5.734,182.054,0.031,-547127000.0,-0.135,-68,503,272.79
2019-10-07,1.47,5.77,182.054,0.031,-547127000.0,-0.093,-35,375,274.46
2019-10-08,1.47,5.691,182.054,0.031,-547127000.0,-0.128,-44,344,270.72
2019-10-09,1.47,5.624,182.054,0.031,-547127000.0,-0.091,-38,418,267.53
2019-10-10,1.47,5.896,182.054,0.031,-547127000.0,-0.063,-35,558,280.48
2019-10-11,1.47,5.948,182.054,0.031,-547127000.0,-0.082,-42,509,282.93
2019-10-14,1.47,6.002,182.054,0.031,-547127000.0,-0.096,-32,334,285.53
2019-10-15,1.47,5.975,182.054,0.031,-547127000.0,-0.094,-46,488,284.25
2019-10-16,1.47,6.018,182.054,0.031,-547127000.0,-0.063,-107,1693,286.28
2019-10-17,1.47,6.167,182.054,0.031,-547127000.0,-0.088,-136,1553,293.35
2019-10-18,1.47,5.787,182.054,0.031,-547127000.0,-0.09,-67,746,275.3
2019-10-21,1.47,5.845,182.054,0.031,-547127000.0,-0.069,-35,510,278.05
2019-10-22,1.47,5.606,182.054,0.031,-547127000.0,-0.143,-84,589,266.69
2019-10-23,1.47,5.703,182.054,0.031,-547127000.0,-0.074,-30,405,271.27
2019-10-24,1.47,5.707,182.054,0.031,-547127000.0,-0.117,-34,290,271.5
2019-10-25,1.47,5.819,182.054,0.031,-547127000.0,-0.094,-27,286,276.82
2019-10-28,1.47,5.925,182.054,0.031,-547127000.0,-0.057,-15,263,281.86
2019-10-29,1.47,5.911,182.054,0.031,-547127000.0,-0.074,-27,365,281.21
2019-10-30,1.47,6.127,182.054,0.031,-547127000.0,-0.08,-41,516,291.45
2019-10-31,1.47,6.042,182.054,0.031,-547127000.0,-0.101,-22,217,287.41
2019-11-01,1.47,6.029,182.054,0.031,-547127000.0,-0.09,-25,278,286.81
2019-11-04,1.47,6.156,182.054,0.031,-547127000.0,-0.061,-14,229,292.86
2019-11-05,1.47,6.055,182.054,0.031,-547127000.0,-0.085,-21,247,288.03
2019-11-06,1.47,6.067,182.054,0.031,-547127000.0,-0.065,-19,293,288.59
2019-11-07,1.47,6.087,182.054,0.031,-547127000.0,-0.13,-54,416,289.57
2019-11-08,1.47,6.129,182.054,0.031,-547127000.0,-0.124,-36,291,291.57
2019-11-11,1.47,6.184,182.054,0.031,-547127000.0,-0.101,-24,237,294.18
2019-11-12,1.47,6.139,182.054,0.031,-547127000.0,-0.05,-23,459,292.01
2019-11-13,1.47,5.951,182.054,0.031,-547127000.0,-0.12,-74,616,283.11
2019-11-14,1.47,6.088,182.054,0.031,-547127000.0,-0.139,-63,452,289.62
2019-11-15,1.47,6.202,182.054,0.031,-547127000.0,-0.036,-13,365,295.03
2019-11-18,1.47,6.361,182.054,0.031,-547127000.0,-0.02,-10,506,302.57
2019-11-19,1.47,6.361,182.054,0.031,-547127000.0,-0.079,-33,420,302.6
2019-11-20,1.47,6.415,182.054,0.031,-547127000.0,-0.067,-26,386,305.16
2019-11-21,1.47,6.552,182.054,0.031,-547127000.0,-0.098,-42,427,311.69
2019-11-22,1.47,6.527,182.054,0.031,-547127000.0,-0.022,-6,278,310.48
2019-11-25,1.47,6.633,182.054,0.031,-547127000.0,-0.101,-48,477,315.55
2019-11-26,1.47,6.569,182.054,0.031,-547127000.0,-0.056,-20,357,312.49
2019-11-27,1.47,6.641,182.054,0.031,-547127000.0,-0.147,-45,306,315.93
2019-11-29,1.47,6.615,182.054,0.031,-547127000.0,-0.104,-18,173,314.66
2019-12-02,1.47,6.517,182.054,0.031,-547127000.0,-0.1,-33,330,309.99
2019-12-03,1.47,6.436,182.054,0.031,-547127000.0,-0.103,-25,242,306.16
2019-12-04,1.47,6.397,182.054,0.031,-547127000.0,-0.071,-14,198,304.32
2019-12-05,1.47,6.367,182.054,0.031,-547127000.0,-0.126,-30,239,302.86
2019-12-06,1.47,6.461,182.054,0.031,-547127000.0,-0.087,-23,264,307.35
2019-12-09,1.47,6.359,182.054,0.031,-547127000.0,-0.046,-14,305,302.5
2019-12-10,1.47,6.162,182.054,0.031,-547127000.0,-0.167,-108,646,293.12
2019-12-11,1.47,6.284,182.054,0.031,-547127000.0,-0.136,-66,487,298.93
2019-12-12,1.47,6.274,182.054,0.031,-547127000.0,-0.099,-32,323,298.44
2019-12-13,1.47,6.275,182.054,0.031,-547127000.0,-0.059,-15,253,298.5
2019-12-16,1.47,6.395,182.054,0.031,-547127000.0,-0.03,-9,303,304.21
2019-12-17,1.47,6.632,182.054,0.031,-547127000.0,-0.017,-9,539,315.48
2019-12-18,1.47,6.744,182.054,0.031,-547127000.0,-0.005,-3,570,320.8
2019-12-19,1.47,6.984,182.054,0.031,-547127000.0,-0.011,-6,560,332.22
2019-12-20,1.47,7.082,182.054,0.031,-547127000.0,0.002,1,453,336.9
2019-12-23,1.47,7.002,182.054,0.031,-547127000.0,-0.135,-44,326,333.1
2019-12-24,1.47,7.004,182.054,0.031,-547127000.0,-0.045,-10,224,333.2
2019-12-26,1.47,6.992,182.054,0.031,-547127000.0,-0.073,-20,275,332.63
2019-12-27,1.47,6.918,182.054,0.031,-547127000.0,-0.031,-9,288,329.09
2019-12-30,1.47,6.797,182.054,0.031,-547127000.0,-0.063,-21,333,323.31
2019-12-31,1.3,6.802,248.9,0.027,-1569712000.0,-0.07,-19,273,323.57
2020-01-02,1.3,6.933,248.9,0.027,-1569712000.0,-0.038,-13,339,329.81
2020-01-03,1.3,6.851,248.9,0.027,-1569712000.0,-0.155,-48,309,325.9
2020-01-06,1.3,7.06,248.9,0.027,-1569712000.0,-0.03,-16,543,335.83
2020-01-07,1.3,6.953,248.9,0.027,-1569712000.0,-0.05,-21,422,330.75
2020-01-08,1.3,7.132,248.9,0.027,-1569712000.0,-0.074,-37,501,339.26
2020-01-09,1.3,7.056,248.9,0.027,-1569712000.0,-0.08,-30,377,335.66
2020-01-10,1.3,6.917,248.9,0.027,-1569712000.0,-0.068,-20,294,329.05
2020-01-13,1.3,7.125,248.9,0.027,-1569712000.0,-0.04,-16,396,338.92
2020-01-14,1.3,7.12,248.9,0.027,-1569712000.0,-0.021,-9,421,338.69
2020-01-15,1.3,7.128,248.9,0.027,-1569712000.0,-0.101,-32,318,339.07
2020-01-16,1.3,7.118,248.9,0.027,-1569712000.0,-0.092,-35,380,338.62
2020-01-17,1.3,7.14,248.9,0.027,-1569712000.0,-0.045,-20,446,339.67
2020-01-21,1.3,7.108,248.9,0.027,-1569712000.0,-0.066,-93,1406,338.11
2020-01-22,1.3,6.853,248.9,0.027,-1569712000.0,-0.109,-143,1312,326.0
2020-01-23,1.3,7.349,248.9,0.027,-1569712000.0,-0.022,-27,1214,349.6
2020-01-24,1.3,7.424,248.9,0.027,-1569712000.0,-0.063,-52,829,353.16
2020-01-27,1.3,7.208,248.9,0.027,-1569712000.0,-0.125,-54,432,342.88
2020-01-28,1.3,7.326,248.9,0.027,-1569712000.0,-0.097,-44,454,348.52
2020-01-29,1.3,7.214,248.9,0.027,-1569712000.0,-0.143,-55,385,343.16
2020-01-30,1.3,7.31,248.9,0.027,-1569712000.0,-0.189,-64,339,347.74
2020-01-31,1.3,7.254,248.9,0.027,-1569712000.0,-0.166,-52,313,345.09
2020-02-03,1.3,7.526,248.9,0.027,-1569712000.0,-0.002,-1,420,358.0
2020-02-04,1.3,7.757,248.9,0.027,-1569712000.0,-0.064,-36,562,369.01
2020-02-05,1.3,7.771,248.9,0.027,-1569712000.0,-0.073,-36,492,369.67
2020-02-06,1.3,7.714,248.9,0.027,-1569712000.0,-0.129,-40,311,366.95
2020-02-07,1.3,7.71,248.9,0.027,-1569712000.0,-0.065,-23,353,366.77
2020-02-10,1.3,7.801,248.9,0.027,-1569712000.0,-0.075,-32,428,371.07
2020-02-11,1.3,7.856,248.9,0.027,-1569712000.0,-0.031,-12,388,373.69
2020-02-12,1.3,7.988,248.9,0.027,-1569712000.0,-0.065,-23,353,380.01
2020-02-13,1.3,8.018,248.9,0.027,-1569712000.0,-0.098,-41,419,381.4
2020-02-14,1.3,7.997,248.9,0.027,-1569712000.0,-0.093,-27,289,380.4
2020-02-18,1.3,8.152,248.9,0.027,-1569712000.0,-0.087,-37,426,387.78
2020-02-19,1.3,8.118,248.9,0.027,-1569712000.0,-0.054,-20,368,386.19
2020-02-20,1.3,8.114,248.9,0.027,-1569712000.0,-0.087,-26,300,386.0
2020-02-21,1.3,7.99,248.9,0.027,-1569712000.0,-0.117,-34,291,380.07
2020-02-24,1.3,7.751,248.9,0.027,-1569712000.0,-0.152,-56,368,368.7
2020-02-25,1.3,7.57,248.9,0.027,-1569712000.0,-0.087,-33,380,360.09
2020-02-26,1.3,7.972,248.9,0.027,-1569712000.0,-0.063,-30,479,379.24
2020-02-27,1.3,7.814,248.9,0.027,-1569712000.0,-0.121,-91,750,371.71
2020-02-28,1.3,7.758,248.9,0.027,-1569712000.0,-0.12,-42,350,369.03
2020-03-02,1.3,8.01,248.9,0.027,-1569712000.0,-0.103,-24,232,381.05
2020-03-03,1.3,7.752,248.9,0.027,-1569712000.0,-0.098,-40,409,368.77
2020-03-04,1.3,8.068,248.9,0.027,-1569712000.0,-0.19,-62,327,383.79
2020-03-05,1.3,7.836,248.9,0.027,-1569712000.0,-0.115,-52,452,372.78
