date,EPS,pb_ratio,pe_ratio,roe,fcf,P_mean,P_sum,twt_count,NFLX_Returns
2022-05-25,3.53,3.948,106.116,0.074,801681000.0,-0.065,-30,463,1
2022-05-26,3.53,4.024,106.116,0.074,801681000.0,-0.081,-34,418,1
2022-05-27,3.53,4.103,106.116,0.074,801681000.0,-0.071,-30,424,1
2022-05-31,3.53,4.151,106.116,0.074,801681000.0,-0.039,-19,487,1
2022-06-01,3.53,4.055,106.116,0.074,801681000.0,-0.101,-50,494,0
2022-06-02,3.53,4.311,106.116,0.074,801681000.0,-0.03,-17,560,1
2022-06-03,3.53,4.183,106.116,0.074,801681000.0,-0.081,-32,395,0
2022-06-06,3.53,4.144,106.116,0.074,801681000.0,-0.146,-39,268,0
2022-06-07,3.53,4.175,106.116,0.074,801681000.0,-0.18,-63,350,1
2022-06-08,3.53,4.264,106.116,0.074,801681000.0,-0.13,-110,844,1
2022-06-09,3.53,4.052,106.116,0.074,801681000.0,-0.163,-74,453,0
2022-06-10,3.53,3.846,106.116,0.074,801681000.0,-0.156,-90,576,0
2022-06-13,3.53,3.567,106.116,0.074,801681000.0,-0.171,-68,397,0
2022-06-14,3.53,3.522,106.116,0.074,801681000.0,-0.165,-86,522,0
2022-06-15,3.53,3.786,106.116,0.074,801681000.0,-0.142,-77,541,1
2022-06-16,3.53,3.644,106.116,0.074,801681000.0,-0.125,-48,383,0
2022-06-17,3.53,3.69,106.116,0.074,801681000.0,-0.014,-4,290,1
2022-06-21,3.53,3.593,106.116,0.074,801681000.0,-0.175,-114,652,0
2022-06-22,3.53,3.761,106.116,0.074,801681000.0,-0.034,-22,649,1
2022-06-23,3.53,3.82,106.116,0.074,801681000.0,-0.078,-53,676,1
2022-06-24,3.53,4.012,106.116,0.074,801681000.0,-0.066,-38,578,1
2022-06-27,3.53,3.976,106.116,0.074,801681000.0,-0.036,-12,337,0
2022-06-28,3.53,3.775,106.116,0.074,801681000.0,-0.088,-33,375,0
2022-06-29,3.53,3.749,106.116,0.074,801681000.0,-0.083,-30,362,0
2022-06-30,3.2,3.676,54.647,0.067,12732000.0,-0.067,-28,420,0
2022-07-01,3.2,3.676,54.647,0.067,12732000.0,-0.062,-21,337,1
2022-07-05,3.2,3.676,54.647,0.067,12732000.0,-0.059,-25,425,1
2022-07-06,3.2,3.676,54.647,0.067,12732000.0,-0.015,-8,538,0
2022-07-07,3.2,3.676,54.647,0.067,12732000.0,-0.055,-24,433,1
2022-07-08,3.2,3.676,54.647,0.067,12732000.0,-0.043,-12,279,0
