date,Adj Close,Volume,Adj Close_s&p500,Volume_s&p500,SMA_20,SMA_50,RSI,MACD,Signal_Line,P_mean,P_sum,twt_count,NFLX_Returns,SP500_Returns,Relative_Performance
2019-11-11,294.18,3944300,3087.01,3041120000,283.852,281.123,78.797,3.261,1.838,-0.1013,-24,237,1,-0.00196247746704,0.0109140156911372
2019-11-12,292.01,5772800,3091.8401,3495560000,284.24,281.178,72.882,3.364,2.143,-0.0501,-23,459,0,0.0015646531757265,-0.0089410893712531
2019-11-13,283.11,9158900,3094.04,3513720000,284.082,281.009,60.752,2.695,2.253,-0.1201,-74,616,0,0.0007115180374301,-0.0311899263111193
2019-11-14,289.62,6529000,3096.6299,3282090000,283.896,280.937,61.598,2.66,2.335,-0.1394,-63,452,1,0.000837060930046,0.0221575348101255
2019-11-15,295.03,6333800,3120.46,3359800000,284.882,281.034,61.854,3.034,2.475,-0.0356,-13,365,1,0.007695495028321,0.0109841541671764
2019-11-18,302.57,8616600,3122.03,3440140000,286.108,281.199,67.104,3.894,2.759,-0.0198,-10,506,1,0.0005031309486422,0.0250535920964718
2019-11-19,302.6,5918000,3120.1799,3613670000,287.904,281.491,60.674,4.526,3.112,-0.0786,-33,420,1,-0.0005925952024804,0.0006917458122567
2019-11-20,305.16,5111800,3108.46,4041010000,289.598,281.829,67.488,5.173,3.524,-0.0674,-26,386,1,-0.0037561616238859,0.0122161748426565
2019-11-21,311.69,7488400,3103.54,3744010000,291.608,282.285,71.948,6.142,4.048,-0.0984,-42,427,1,-0.0015827773238195,0.022981387888769
2019-11-22,310.48,5970100,3110.29,3235270000,293.29,282.612,66.995,6.735,4.585,-0.0216,-6,278,0,0.0021749357185665,-0.0060569980240623
2019-11-25,315.55,7873900,3133.6399,3514310000,294.975,283.037,76.421,7.527,5.174,-0.1006,-48,477,1,0.0075073063926516,0.0088222478459467
2019-11-26,312.49,5321000,3140.52,4600450000,296.539,283.315,71.894,7.818,5.703,-0.056,-20,357,0,0.0021955617810456,-0.0118929156076975
2019-11-27,315.93,4096900,3153.6299,3035470000,297.763,283.802,73.107,8.231,6.208,-0.1471,-45,306,1,0.004174436080649,0.0068339161866235
2019-11-29,314.66,2411700,3140.98,1743420000,299.126,284.363,70.503,8.36,6.639,-0.104,-18,173,0,-0.0040112189448736,-8.658876162637164e-06
2019-12-02,309.99,6218800,3113.8701,3285750000,300.284,285.148,63.543,7.993,6.91,-0.1,-33,330,0,-0.0086310323529599,-0.0062103837787378
2019-12-03,306.16,4992800,3093.2,3671580000,300.95,285.953,61.786,7.309,6.989,-0.1033,-25,242,0,-0.0066380739517682,-0.0057171633139498
2019-12-04,304.32,3512100,3112.76,3702980000,301.764,286.948,70.021,6.543,6.9,-0.0707,-14,198,0,0.0063235484288117,-0.0123334778774661
2019-12-05,302.86,4615500,3117.4299,3360480000,302.478,287.71,63.815,5.751,6.67,-0.1255,-30,239,0,0.0015002441563114,-0.0062978256494764
2019-12-06,307.35,4457800,3145.9099,3483310000,303.366,288.591,63.106,5.424,6.421,-0.0871,-23,264,1,0.0091357306863579,0.0056896011501341
2019-12-09,302.5,5748400,3135.96,3400470000,303.913,289.379,49.921,4.719,6.081,-0.0459,-14,305,0,-0.0031628051394606,-0.0126172501720734
2019-12-10,293.12,10476100,3132.52,3346310000,303.86,289.889,41.167,3.364,5.537,-0.1672,-108,646,0,-0.0010969527672547,-0.0299113116955551
2019-12-11,298.93,5589800,3141.6299,3257650000,304.206,290.476,44.526,2.728,4.976,-0.1355,-66,487,1,0.0029081697802408,0.0169130638442132
2019-12-12,298.44,4766600,3168.5701,4003200000,304.972,291.084,36.977,2.16,4.412,-0.0991,-32,323,0,0.0085752303286901,-0.0102144100697666
2019-12-13,298.5,3879700,3168.8,3757650000,305.416,291.691,37.953,1.694,3.869,-0.0593,-15,253,1,7.25563875012547e-05,0.0001284890487673
2019-12-16,304.21,4658900,3191.45,4070200000,305.876,292.32,38.741,1.766,3.448,-0.0297,-9,303,1,0.007147816208028,0.0119811620164274
2019-12-17,315.48,10427100,3192.52,3842940000,306.521,293.14,52.553,2.701,3.299,-0.0167,-9,539,1,0.0003352708016732,0.0367115060958647
2019-12-18,320.8,11207400,3191.1399,4029950000,307.431,294.142,54.028,3.827,3.405,-0.0053,-3,570,1,-0.0004322917319232,0.0172954843273334
2019-12-19,332.22,9822300,3205.3701,3784360000,308.784,295.435,62.436,5.577,3.839,-0.0107,-6,560,1,0.0044592842827104,0.0311392194579378
2019-12-20,336.9,9914900,3221.22,6457480000,310.044,296.564,69.055,7.258,4.523,0.0022,1,453,1,0.0049447956103414,0.0091422551391617
2019-12-23,333.1,5765300,3224.01,3064530000,311.176,297.567,69.085,8.189,5.256,-0.135,-44,326,0,0.0008661314657181,-0.0121454428340765
2019-12-24,333.2,2019300,3223.3799,1296530000,312.058,298.521,70.976,8.833,5.971,-0.0446,-10,224,1,-0.0001954398404472,0.00049564998755
2019-12-26,332.63,3589900,3239.9099,2164540000,313.065,299.488,71.906,9.191,6.615,-0.0727,-20,275,0,0.0051281575590889,-0.0068388418327983
2019-12-27,329.09,5036100,3240.02,2429150000,313.723,300.344,66.224,9.085,7.109,-0.0312,-9,288,0,3.398242648655625e-05,-0.010676438007763
2019-12-30,323.31,4311500,3221.29,3021720000,314.156,300.944,65.317,8.437,7.375,-0.0631,-21,333,0,-0.0057808285134042,-0.0117827559163868
2019-12-31,323.57,3713300,3230.78,2894760000,314.835,301.909,75.888,7.854,7.471,-0.0696,-19,273,1,0.0029460247292234,-0.0021418429841491
2020-01-02,329.81,4485800,3257.8501,3459930000,316.017,302.944,76.063,7.805,7.538,-0.0383,-13,339,1,0.0083788125468153,0.0109060408079455
2020-01-03,325.9,3806900,3234.8501,3484700000,317.096,304.128,71.912,7.366,7.503,-0.1553,-48,309,0,-0.0070598705569664,-0.0047954400764286
2020-01-06,335.83,5663100,3246.28,3702460000,318.744,305.42,75.734,7.731,7.549,-0.0295,-16,543,1,0.0035333631069953,0.0269361060553243
2020-01-07,330.75,4703200,3237.1799,3435910000,319.914,306.605,68.456,7.523,7.544,-0.0498,-21,422,0,-0.002803239400175,-0.0123234616092642
2020-01-08,339.26,7104500,3253.05,3726840000,321.752,307.853,67.197,7.953,7.626,-0.0739,-37,501,1,0.00490244610749,0.0208269567647698
2020-01-09,335.66,4709300,3274.7,3641230000,323.88,308.929,61.02,7.912,7.683,-0.0796,-30,377,0,0.0066552927252885,-0.0172666232682348
