date,Adj Close,Volume,SMA_20,SMA_50,RSI,MACD,Signal_Line,EPS,pe_ratio,pb_ratio,roe,fcf,NFLX_Returns
2020-08-21,492.31,3921300,489.812,483.484,47.361,0.829,1.088,1.59,286.189,10.349,0.033,899335000.0,0
2020-08-24,488.81,4762200,489.47,484.899,40.705,0.759,1.022,1.59,286.189,10.276,0.033,899335000.0,0
2020-08-25,490.58,5727700,489.574,486.2,44.576,0.837,0.985,1.59,286.189,10.313,0.033,899335000.0,1
2020-08-26,547.53,20373700,492.726,488.428,62.302,5.431,1.874,1.59,286.189,11.51,0.033,899335000.0,1
2020-08-27,526.27,9062900,494.75,489.998,59.664,7.273,2.954,1.59,286.189,11.063,0.033,899335000.0,0
2020-08-28,523.89,4417500,496.5,491.479,63.135,8.443,4.052,1.59,286.189,11.013,0.033,899335000.0,0
2020-08-31,529.56,4941400,498.048,492.996,71.833,9.716,5.185,1.59,286.189,11.132,0.033,899335000.0,1
2020-09-01,556.55,9572700,500.393,494.766,75.043,12.755,6.699,1.59,286.189,11.7,0.033,899335000.0,1
2020-09-02,552.84,5886900,502.93,496.497,72.385,14.695,8.298,1.59,286.189,11.622,0.033,899335000.0,0
2020-09-03,525.75,9071100,503.763,497.855,61.611,13.887,9.416,1.59,286.189,11.052,0.033,899335000.0,0
2020-09-04,516.05,8270100,504.829,498.858,58.648,12.322,9.997,1.59,286.189,10.848,0.033,899335000.0,0
2020-09-08,507.02,5572700,506.011,500.131,53.898,10.234,10.044,1.59,286.189,10.658,0.033,899335000.0,0
2020-09-09,500.19,6848100,507.674,501.19,54.039,7.938,9.623,1.59,286.189,10.515,0.033,899335000.0,0
2020-09-10,480.67,6240200,507.934,501.702,45.692,4.49,8.597,1.59,286.189,10.104,0.033,899335000.0,0
2020-09-11,482.03,5035200,507.969,501.63,47.374,1.847,7.247,1.59,286.189,10.133,0.033,899335000.0,1
2020-09-14,476.26,7359100,507.648,501.617,46.831,-0.705,5.656,1.59,286.189,10.012,0.033,899335000.0,0
2020-09-15,495.99,5337000,508.33,501.661,51.252,-1.123,4.3,1.59,286.189,10.427,0.033,899335000.0,1
2020-09-16,483.86,4394900,507.929,501.475,31.402,-2.405,2.959,1.59,286.189,10.172,0.033,899335000.0,0
2020-09-17,470.2,5379300,507.213,500.823,32.861,-4.472,1.473,1.59,286.189,9.884,0.033,899335000.0,0
2020-09-18,469.96,6717700,505.816,500.067,33.296,-6.059,-0.033,1.59,286.189,9.879,0.033,899335000.0,0
2020-09-21,487.35,5457500,505.568,498.84,37.811,-5.847,-1.196,1.59,286.189,10.245,0.033,899335000.0,1
2020-09-22,491.17,3482300,505.686,498.153,28.204,-5.309,-2.019,1.59,286.189,10.325,0.033,899335000.0,1
2020-09-23,470.61,3726400,504.688,497.068,25.355,-6.467,-2.908,1.59,286.189,9.893,0.033,899335000.0,0
2020-09-24,473.08,3727200,500.965,496.064,31.482,-7.104,-3.748,1.59,286.189,9.945,0.033,899335000.0,1
2020-09-25,482.88,3769400,498.796,495.174,38.346,-6.74,-4.346,1.59,286.189,10.151,0.033,899335000.0,1
2020-09-28,490.65,4773500,497.134,495.127,44.197,-5.758,-4.628,1.59,286.189,10.314,0.033,899335000.0,1
2020-09-29,493.48,3541500,495.33,494.949,47.552,-4.698,-4.642,1.59,286.189,10.374,0.033,899335000.0,1
2020-09-30,500.03,4634100,492.504,495.147,57.801,-3.291,-4.372,1.74,287.374,10.511,0.037,1153950000.0,1
2020-10-01,527.51,8153700,491.237,495.901,65.14,0.041,-3.489,1.74,287.374,11.089,0.037,1153950000.0,1
