date,Adj Close,Volume,SMA_20,SMA_50,RSI,MACD,Signal_Line,EPS,pb_ratio,pe_ratio,roe,fcf,P_mean,P_sum,twt_count
2021-06-21,497.0,5277300,496.248,505.207,48.235,-1.793,-3.137,3.75,10.44776119402985,139.10933333333332,0.0788311961320159,696265000.0,-0.0566,-21,371
2021-06-22,508.82,5809300,496.545,504.328,56.787,-0.594,-2.628,3.75,10.696237124237966,139.10933333333332,0.0788311961320159,696265000.0,0.019,10,527
2021-06-23,512.74,3944800,497.114,503.508,68.017,0.664,-1.97,3.75,10.7786420012613,139.10933333333332,0.0788311961320159,696265000.0,0.0045,2,444
2021-06-24,518.06,3361200,497.9,503.069,68.022,2.066,-1.163,3.75,10.890477191507252,139.10933333333332,0.0788311961320159,696265000.0,-0.0282,-16,567
2021-06-25,527.07,5299100,499.06,502.626,72.009,3.86,-0.158,3.75,11.07988227874711,139.10933333333332,0.0788311961320159,696265000.0,0.0225,17,755
2021-06-28,533.03,2820200,500.571,502.356,76.28,5.697,1.013,3.75,11.20517132646626,139.10933333333332,0.0788311961320159,696265000.0,-0.033,-14,424
2021-06-29,533.5,2314600,502.292,501.937,83.485,7.109,2.232,3.75,11.21505150304814,139.10933333333332,0.0788311961320159,696265000.0,-0.0407,-12,295
2021-06-30,528.21,2773400,503.74,501.51,77.279,7.713,3.328,2.97,11.103846962371245,177.84848484848484,0.0624343073365566,-174039000.0,-0.0741,-18,243
2021-07-01,533.54,2805400,505.946,502.003,78.382,8.522,4.367,2.97,11.215892369140214,177.84848484848484,0.0624343073365566,-174039000.0,-0.0401,-12,299
2021-07-02,533.98,1975500,507.908,502.507,74.996,9.095,5.313,2.97,11.22514189615304,177.84848484848484,0.0624343073365566,-174039000.0,-0.061,-15,246
2021-07-06,541.64,2775100,510.257,503.228,86.649,10.051,6.26,2.97,11.386167752785369,177.84848484848484,0.0624343073365566,-174039000.0,0.0356,14,393
2021-07-07,535.96,2722500,512.435,503.742,79.817,10.232,7.055,2.97,11.266764767710743,177.84848484848484,0.0624343073365566,-174039000.0,-0.0685,-20,292
2021-07-08,530.76,3269000,514.683,504.246,72.42,9.843,7.612,2.97,11.157452175741012,177.84848484848484,0.0624343073365566,-174039000.0,-0.1004,-24,239
2021-07-09,535.98,2777200,517.118,504.835,73.445,9.842,8.058,2.97,11.26718520075678,177.84848484848484,0.0624343073365566,-174039000.0,-0.0821,-17,207
2021-07-12,537.31,1780700,519.545,505.401,77.743,9.835,8.414,2.97,11.295143998318268,177.84848484848484,0.0624343073365566,-174039000.0,-0.045,-10,222
2021-07-13,540.68,2751600,521.585,505.945,74.813,9.987,8.728,2.97,11.365986966575573,177.84848484848484,0.0624343073365566,-174039000.0,-0.0322,-10,311
2021-07-14,547.95,4659500,524.388,506.722,76.062,10.571,9.097,2.97,11.518814378810175,177.84848484848484,0.0624343073365566,-174039000.0,-0.0049,-3,609
2021-07-15,542.95,5713900,526.914,507.518,68.511,10.51,9.38,2.97,11.41370611730082,177.84848484848484,0.0624343073365566,-174039000.0,-0.0353,-34,962
2021-07-16,530.31,3442100,528.513,508.202,52.286,9.334,9.371,2.97,11.14799243220517,177.84848484848484,0.0624343073365566,-174039000.0,-0.0577,-24,416
2021-07-19,532.28,3885800,530.088,508.857,49.439,8.464,9.189,2.97,11.189405087239855,177.84848484848484,0.0624343073365566,-174039000.0,-0.0271,-12,443
2021-07-20,531.05,6930400,531.791,509.401,48.189,7.587,8.869,2.97,11.163548454908554,177.84848484848484,0.0624343073365566,-174039000.0,-0.1376,-124,901
2021-07-21,513.63,11906800,532.031,509.94,40.86,5.424,8.18,2.97,10.797351271809964,177.84848484848484,0.0624343073365566,-174039000.0,-0.0769,-88,1145
2021-07-22,511.77,4328100,531.983,510.274,35.732,3.519,7.248,2.97,10.758250998528483,177.84848484848484,0.0624343073365566,-174039000.0,-0.1055,-42,398
2021-07-23,515.41,3820500,531.85,510.882,38.319,2.277,6.254,2.97,10.834769812907291,177.84848484848484,0.0624343073365566,-174039000.0,-0.0026,-1,380
2021-07-26,516.49,2254500,531.322,511.479,32.753,1.364,5.276,2.97,10.857473197393317,177.84848484848484,0.0624343073365566,-174039000.0,-0.0275,-8,291
2021-07-27,518.91,2759000,530.616,511.99,37.76,0.827,4.386,2.97,10.908345595963842,177.84848484848484,0.0624343073365566,-174039000.0,0.0,0,281
2021-07-28,519.3,2390500,529.906,512.597,41.163,0.427,3.594,2.97,10.916544040361572,177.84848484848484,0.0624343073365566,-174039000.0,-0.049,-14,286
2021-07-29,514.25,1736000,529.208,513.156,33.199,-0.294,2.817,2.97,10.810384696237124,177.84848484848484,0.0624343073365566,-174039000.0,-0.124,-31,250
2021-07-30,517.57,2537100,528.409,513.754,35.194,-0.59,2.135,2.97,10.880176581879336,177.84848484848484,0.0624343073365566,-174039000.0,-0.0972,-21,216
2021-08-02,515.15,2096600,527.468,514.023,30.574,-1.009,1.506,2.97,10.829304183308809,177.84848484848484,0.0624343073365566,-174039000.0,-0.0901,-20,222
2021-08-03,510.82,2579400,525.926,514.282,20.424,-1.671,0.871,2.97,10.738280428841708,177.84848484848484,0.0624343073365566,-174039000.0,-0.0865,-16,185
2021-08-04,517.35,2039400,524.996,514.571,30.093,-1.65,0.367,2.97,10.875551818372925,177.84848484848484,0.0624343073365566,-174039000.0,-0.051,-13,255
